Wavelength,R,G,B,C,M,Y
303.6,0.0147671447431676,0.0108380042871165,0.0101151784071498,0.023730027338514,0.0616676306949467,0.0523573666842894
303.8,0.0150583886362944,0.0108419600565223,0.0102235550757334,0.0239054591924378,0.0622417195975843,0.0524727532633015
304,0.0153533634783491,0.0108473047655529,0.0103367022891335,0.0240820687890179,0.0628144841237846,0.0525879212966039
304.2,0.0156520364196148,0.0108540420647835,0.010454602287158,0.0242598739195806,0.0633859423822253,0.0527028818514557
304.4,0.0159543745684726,0.0108621755732024,0.0105772372221837,0.0244388922464003,0.0639561156407382,0.0528176457271956
304.6,0.0162603449893067,0.0108717088766313,0.0107045891547846,0.0246191412809256,0.0645250283761461,0.0529322234422834
304.8,0.016569914700409,0.0108826455261463,0.0108366400493603,0.024800638362006,0.0650927083240993,0.0530466252213404
305,0.0168830506718843,0.0108949890364984,0.0109733717697646,0.0249834006341184,0.0656591865289115,0.0531608609821901
305.2,0.0171997198235548,0.0109087428845339,0.0111147660749336,0.025167445025593,0.0662244973933973,0.0532749403228984
305.4,0.0175198890228659,0.0109239105076157,0.0112608046145148,0.0253527882268402,0.0667886787287079,0.0533888725088149
305.6,0.0178435250827896,0.0109404953020432,0.0114114689244946,0.0255394466685769,0.0673517718041681,0.0535026664596132
305.8,0.018170594759731,0.0109585006214733,0.0115667404228277,0.0257274365000523,0.067913821397112,0.0536163307363314
306,0.0185010647514322,0.0109779297753411,0.0117266004050648,0.0259167735672756,0.0684748758427207,0.0537298735284132
306.2,0.0188349016948774,0.0109987860272806,0.0118910300399814,0.0261074733912409,0.0690349870838579,0.0538433026407481
